desig,full_desig,M,h,b,s,t,r1,r2,alpha,d,eo,Cs,Ix,Iy,rx,ry,Zx,Zy,Cy,Sx,Sy,Ceq,u,x,H,J,A
432102,432x102x65,65.5,431.8,101.6,12.2,16.8,15.2,4.8,5,362.5,3.13,4.83,21373,627,16,2.74,990,80,2.31,1205,152,0.966,0.875,24.5,0.216,61.5,83.4
381102,381x102x55,55.01,381,101.6,10.4,16.3,15.2,4.8,5,312.6,3.44,5.43,14869,579,14.6,2.87,781,75.7,2.52,931,144,0.92,0.895,22.6,0.153,46.4,70.1
305102,305x102x46,46.21,304.8,101.6,10.2,14.8,15.2,4.8,5,239.3,3.59,5.73,8208,499,11.8,2.91,539,66.5,2.65,638,128,0.966,0.899,18.8,0.0842,35.9,58.9
30589,305x89x42,41.81,304.8,88.9,10.2,13.7,13.7,3.2,5,245.4,2.93,4.6,7078,326,11.5,2.48,464,48.6,2.18,559,92.6,0.874,0.887,20.3,0.0552,28.1,53.3
25489,254x89x36,35.66,254,88.9,9.1,13.6,13.7,3.2,5,194.7,3.2,5.16,4445,302,9.89,2.58,350,46.7,2.42,414,89.6,0.894,0.906,17,0.0347,23.2,45.4
25476,254x76x28,28.18,254,76.2,8.1,10.9,12.2,3.2,5,203.9,2.55,3.99,3355,162,9.67,2.12,264,28.1,1.85,316,53.8,0.707,0.886,21.2,0.0194,12.3,35.9
22989,229x89x33,32.68,228.6,88.9,8.6,13.3,13.7,3.2,5,169.9,3.32,5.42,3383,285,9.01,2.61,296,44.8,2.53,348,86.3,1.1,0.912,15.5,0.0263,20.6,41.6
22976,229x76x26,26.08,228.6,76.2,7.6,11.2,12.2,3.2,5,177.8,2.7,4.32,2615,159,8.87,2.19,229,28.4,2,271,54.5,0.727,0.901,18.7,0.0151,11.6,33.2
20389,203x89x30,29.77,203.2,88.9,8.1,12.9,13.7,3.2,5,145.2,3.44,5.68,2492,265,8.11,2.64,245,42.4,2.65,287,81.7,1.4,0.916,14,0.0192,18.1,37.9
20376,203x76x24,23.85,203.2,76.2,7.1,11.2,12.2,3.2,5,152.4,2.84,4.62,1955,152,8.02,2.24,192,27.7,2.14,226,53.5,0.892,0.911,16.5,0.0112,10.6,30.4
17889,178x89x27,26.79,177.8,88.9,7.6,12.3,13.7,3.2,5,121,3.55,5.92,1753,241,7.17,2.66,197,39.3,2.76,230,75.4,1.7,0.915,12.6,0.0134,15.3,34.1
17876,178x76x21,20.84,177.8,76.2,6.6,10.3,12.2,3.2,5,128.8,2.93,4.8,1338,134,7.1,2.25,151,24.8,2.2,176,48.1,1.09,0.911,15.3,0.00765,8.27,26.6
15289,152x89x24,23.87,152.4,88.9,7.1,11.6,13.7,3.2,5,96.9,3.65,6.17,1168,216,6.2,2.66,153,35.8,2.87,178,68.6,1.99,0.909,11.2,0.00882,12.7,30.4
15276,152x76x18,17.91,152.4,76.2,6.4,9,12.2,2.4,5,105.9,2.96,4.85,852,114,6.11,2.23,112,21,2.21,130,41.2,1.15,0.901,14.4,0.00486,6.05,22.8
12764,127x64x15,14.92,127,63.5,6.4,9.2,10.7,2.4,5,84,2.46,4.07,482,67.2,5.04,1.88,76,15.2,1.94,89.4,29.3,1.09,0.909,11.6,0.00188,5.01,19
10251,102x51x10,10.4,101.6,50.8,6.1,7.6,9.1,2.4,5,65.8,1.89,3.1,207,29.1,3.95,1.48,40.8,8.14,1.51,48.7,15.7,0.759,0.9,10.8,0.000512,2.58,13.3
7638,76x38x7,6.71,76.2,38.1,5.1,6.8,7.6,2.4,5,45.8,1.43,2.37,74.3,10.7,2.95,1.12,19.5,4.09,1.19,23.5,7.78,0.673,0.908,9.06,0.000101,1.26,8.56
